broker,payload_size,target_rate,duration_sec,producers,consumers,sent,processed,backlog,lost,errors,avg_ms,p95_ms,max_ms
rabbit,128,1000,20.2,1,1,19984,19984,0,0,0,0.83,1.08,25.47
rabbit,128,5000,20.2,1,1,54381,54381,0,0,0,1.06,1.84,10.21
rabbit,128,10000,20.21,1,1,50554,50554,0,0,0,1.05,1.62,7.67
rabbit,1024,1000,20.21,1,1,19984,19984,0,0,0,0.82,1.23,3.82
rabbit,1024,5000,20.2,1,1,48072,48072,0,0,0,1.14,1.88,7.71
rabbit,1024,10000,20.2,1,1,49463,49463,0,0,0,1.08,1.72,6.19
rabbit,10240,1000,20.2,1,1,19985,19985,0,0,0,0.8,1.18,3.98
rabbit,10240,5000,20.2,1,1,46011,46011,0,0,0,1.09,1.71,7.35
rabbit,10240,10000,20.2,1,1,68499,68499,0,0,0,0.88,1.85,11.46
rabbit,102400,1000,20.2,1,1,19984,19984,0,0,0,2.12,3.46,22.57
rabbit,102400,5000,20.66,1,1,20633,18709,1583,341,0,2725.07,5280.25,5412.37
rabbit,102400,10000,21.18,1,1,22629,21806,629,194,0,2691.65,4066.36,4701.74
redis,128,1000,21.1,1,1,20000,20000,0,0,0,0.36,0.52,7.71
redis,128,5000,21.1,1,1,99985,99985,0,0,0,33.59,80.44,95.32
redis,128,10000,21.05,1,1,133348,133348,0,0,0,24.0,73.34,109.75
redis,1024,1000,21.05,1,1,19999,19999,0,0,0,0.37,0.45,10.41
redis,1024,5000,20.0,1,1,99996,99779,217,0,0,86.82,184.8,223.03
redis,1024,10000,20.0,1,1,136110,136078,32,0,0,18.62,70.76,97.64
redis,10240,1000,21.06,1,1,20000,20000,0,0,0,0.43,0.52,6.02
redis,10240,5000,21.03,1,1,38153,38153,0,0,0,0.4,0.47,9.74
redis,10240,10000,21.03,1,1,38029,38029,0,0,0,0.4,0.48,9.62
redis,102400,1000,21.02,1,1,20000,20000,0,0,0,0.76,1.2,11.79
redis,102400,5000,21.0,1,1,26734,26734,0,0,0,0.87,1.12,11.59
redis,102400,10000,21.0,1,1,31132,31132,0,0,0,0.76,1.05,11.22
